"Crop (code)","Crop","Administrative level 1 (code)","Administrative level 1","Year","Value","Flag"
"236","Soybeans","2235","Oyo","2008","3600",""
"236","Soybeans","2235","Oyo","2007","4210",""
"236","Soybeans","2235","Oyo","2006","3600",""
"236","Soybeans","2235","Oyo","2005","",".."
"236","Soybeans","2235","Oyo","2004","",".."
"236","Soybeans","2235","Oyo","2003","",".."
"236","Soybeans","2235","Oyo","2002","",".."
"236","Soybeans","2235","Oyo","2001","",".."
"236","Soybeans","2235","Oyo","2000","",".."
"236","Soybeans","2235","Oyo","1999","",".."
"236","Soybeans","2235","Oyo","1998","",".."
"236","Soybeans","2235","Oyo","1997","",".."
"236","Soybeans","2235","Oyo","1996","",".."
"236","Soybeans","2235","Oyo","1995","",".."
"236","Soybeans","2234","Osun","2012","",".."
"236","Soybeans","2234","Osun","2011","",".."
"236","Soybeans","65707","Plateau","2005","",".."
"236","Soybeans","65707","Plateau","2006","27500",""
"236","Soybeans","65707","Plateau","2003","",".."
"236","Soybeans","65707","Plateau","2004","",".."
"236","Soybeans","65707","Plateau","2001","",".."
"236","Soybeans","65707","Plateau","2002","",".."
"236","Soybeans","65707","Plateau","1999","",".."
"236","Soybeans","65707","Plateau","2000","",".."
"236","Soybeans","65707","Plateau","1997","",".."
"236","Soybeans","65707","Plateau","1998","",".."
"236","Soybeans","65707","Plateau","1995","",".."
"236","Soybeans","65707","Plateau","1996","",".."
"236","Soybeans","2235","Oyo","2011","360",""
"236","Soybeans","2235","Oyo","2012","400",""
"236","Soybeans","2235","Oyo","2009","4210",""
"236","Soybeans","2235","Oyo","2010","",".."
"236","Soybeans","65708","Rivers","2002","","."
"236","Soybeans","65708","Rivers","2001","","."
"236","Soybeans","65708","Rivers","2004","","."
"236","Soybeans","65708","Rivers","2003","","."
"236","Soybeans","65708","Rivers","1998","","."
"236","Soybeans","65708","Rivers","1997","","."
"236","Soybeans","65708","Rivers","2000","","."
"236","Soybeans","65708","Rivers","1999","","."
"236","Soybeans","65707","Plateau","2012","2100",""
"236","Soybeans","65707","Plateau","2011","1600",""
"236","Soybeans","65708","Rivers","1996","","."
"236","Soybeans","65708","Rivers","1995","","."
"236","Soybeans","65707","Plateau","2008","25970",""
"236","Soybeans","65707","Plateau","2007","24580",""
"236","Soybeans","65707","Plateau","2010","17650",""
"236","Soybeans","65707","Plateau","2009","24580",""
"236","Soybeans","65709","Sokoto","1999","",".."
"236","Soybeans","65709","Sokoto","2000","",".."
"236","Soybeans","65709","Sokoto","2001","",".."
"236","Soybeans","65709","Sokoto","2002","",".."
"236","Soybeans","65709","Sokoto","1995","",".."
"236","Soybeans","65709","Sokoto","1996","",".."
"236","Soybeans","65709","Sokoto","1997","",".."
"236","Soybeans","65709","Sokoto","1998","",".."
"236","Soybeans","65708","Rivers","2009","","."
"236","Soybeans","65708","Rivers","2010","","."
"236","Soybeans","65708","Rivers","2011","","."
"236","Soybeans","65708","Rivers","2012","","."
"236","Soybeans","65708","Rivers","2005","","."
"236","Soybeans","65708","Rivers","2006","","."
"236","Soybeans","65708","Rivers","2007","","."
"236","Soybeans","65708","Rivers","2008","","."
"236","Soybeans","2231","Niger","2012","16100",""
"236","Soybeans","2231","Niger","2011","14320",""
"236","Soybeans","2231","Niger","2010","80030",""
"236","Soybeans","2231","Niger","2009","",".."
"236","Soybeans","2232","Ogun","1998","","."
"236","Soybeans","2232","Ogun","1997","","."
"236","Soybeans","2232","Ogun","1996","","."
"236","Soybeans","2232","Ogun","1995","","."
"236","Soybeans","2231","Niger","2004","",".."
"236","Soybeans","2231","Niger","2003","",".."
"236","Soybeans","2231","Niger","2002","",".."
"236","Soybeans","2231","Niger","2001","",".."
"236","Soybeans","2231","Niger","2008","",".."
"236","Soybeans","2231","Niger","2007","",".."
"236","Soybeans","2231","Niger","2006","",".."
"236","Soybeans","2231","Niger","2005","",".."
"236","Soybeans","2232","Ogun","2009","","."
"236","Soybeans","2232","Ogun","2010","","."
"236","Soybeans","2232","Ogun","2007","","."
"236","Soybeans","2232","Ogun","2008","","."
"236","Soybeans","65706","Ondo","1995","",".."
"236","Soybeans","65706","Ondo","1996","",".."
"236","Soybeans","2232","Ogun","2011","","."
"236","Soybeans","2232","Ogun","2012","","."
"236","Soybeans","2232","Ogun","2001","","."
"236","Soybeans","2232","Ogun","2002","","."
"236","Soybeans","2232","Ogun","1999","","."
"236","Soybeans","2232","Ogun","2000","","."
"236","Soybeans","2232","Ogun","2005","","."
"236","Soybeans","2232","Ogun","2006","","."
"236","Soybeans","2232","Ogun","2003","","."
"236","Soybeans","2232","Ogun","2004","","."
"236","Soybeans","65706","Ondo","2006","",".."
"236","Soybeans","65706","Ondo","2005","",".."
"236","Soybeans","65706","Ondo","2008","",".."
"236","Soybeans","65706","Ondo","2007","",".."
"236","Soybeans","65706","Ondo","2010","",".."
"236","Soybeans","65706","Ondo","2009","",".."
"236","Soybeans","65706","Ondo","2012","20000",""
"236","Soybeans","65706","Ondo","2011","",".."
"236","Soybeans","65706","Ondo","1998","",".."
"236","Soybeans","65706","Ondo","1997","",".."
"236","Soybeans","65706","Ondo","2000","",".."
"236","Soybeans","65706","Ondo","1999","",".."
"236","Soybeans","65706","Ondo","2002","",".."
"236","Soybeans","65706","Ondo","2001","",".."
"236","Soybeans","65706","Ondo","2004","",".."
"236","Soybeans","65706","Ondo","2003","",".."
"236","Soybeans","2234","Osun","2003","",".."
"236","Soybeans","2234","Osun","2004","",".."
"236","Soybeans","2234","Osun","2005","",".."
"236","Soybeans","2234","Osun","2006","",".."
"236","Soybeans","2234","Osun","2007","",".."
"236","Soybeans","2234","Osun","2008","",".."
"236","Soybeans","2234","Osun","2009","",".."
"236","Soybeans","2234","Osun","2010","",".."
"236","Soybeans","2234","Osun","1995","",".."
"236","Soybeans","2234","Osun","1996","",".."
"236","Soybeans","2234","Osun","1997","",".."
"236","Soybeans","2234","Osun","1998","",".."
"236","Soybeans","2234","Osun","1999","",".."
"236","Soybeans","2234","Osun","2000","",".."
"236","Soybeans","2234","Osun","2001","",".."
"236","Soybeans","2234","Osun","2002","",".."
"236","Soybeans","2229","Kwara","1997","",".."
"236","Soybeans","2229","Kwara","1998","",".."
"236","Soybeans","2229","Kwara","1995","",".."
"236","Soybeans","2229","Kwara","1996","",".."
"236","Soybeans","2228","Kogi","2011","",".."
"236","Soybeans","2228","Kogi","2012","15400",""
"236","Soybeans","2228","Kogi","2009","",".."
"236","Soybeans","2228","Kogi","2010","",".."
"236","Soybeans","2229","Kwara","2005","",".."
"236","Soybeans","2229","Kwara","2006","",".."
"236","Soybeans","2229","Kwara","2003","",".."
"236","Soybeans","2229","Kwara","2004","",".."
"236","Soybeans","2229","Kwara","2001","",".."
"236","Soybeans","2229","Kwara","2002","",".."
"236","Soybeans","2229","Kwara","1999","",".."
"236","Soybeans","2229","Kwara","2000","",".."
"236","Soybeans","2230","Lagos","1996","",".."
"236","Soybeans","2230","Lagos","1995","",".."
"236","Soybeans","2229","Kwara","2012","34500",""
"236","Soybeans","2229","Kwara","2011","33030",""
"236","Soybeans","2229","Kwara","2010","",".."
"236","Soybeans","2229","Kwara","2009","",".."
"236","Soybeans","2229","Kwara","2008","",".."
"236","Soybeans","2229","Kwara","2007","",".."
"236","Soybeans","2230","Lagos","2004","",".."
"236","Soybeans","2230","Lagos","2003","",".."
